# Thu May 24 10:07:50 2018   epoch: 1527149270.77  ecg_per_packet: 8
# seqID, timestamp_in_sec, ecg_data
5, 48.136632, -753.664
-1, -1, -753.664
-1, -1, -737.28
-1, -1, -720.896
-1, -1, -720.896
-1, -1, -753.664
-1, -1, -753.664
-1, -1, -770.048
6, 48.226612, -770.048
-1, -1, -770.048
-1, -1, -770.048
-1, -1, -770.048
-1, -1, -737.28
-1, -1, -737.28
-1, -1, -737.28
-1, -1, -753.664
7, 48.287604, -770.048
-1, -1, -770.048
-1, -1, -753.664
-1, -1, -737.28
-1, -1, -737.28
-1, -1, -737.28
-1, -1, -770.048
-1, -1, -737.28
8, 48.347589, -737.28
-1, -1, -737.28
-1, -1, -737.28
-1, -1, -737.28
-1, -1, -753.664
-1, -1, -753.664
-1, -1, -737.28
-1, -1, -753.664
9, 48.40764, -720.896
-1, -1, -720.896
-1, -1, -737.28
-1, -1, -753.664
-1, -1, -753.664
-1, -1, -737.28
-1, -1, -753.664
-1, -1, -737.28
10, 48.467577, -753.664
-1, -1, -753.664
-1, -1, -753.664
-1, -1, -737.28
-1, -1, -753.664
-1, -1, -737.28
-1, -1, -720.896
-1, -1, -737.28
11, 48.527592, -770.048
-1, -1, -770.048
-1, -1, -770.048
-1, -1, -770.048
-1, -1, -737.28
-1, -1, -720.896
-1, -1, -737.28
-1, -1, -786.432
12, 48.587636, -720.896
-1, -1, -720.896
-1, -1, -720.896
-1, -1, -704.512
-1, -1, -737.28
-1, -1, -753.664
-1, -1, -753.664
-1, -1, -770.048
13, 48.648616, -720.896
-1, -1, -720.896
-1, -1, -720.896
-1, -1, -704.512
-1, -1, -688.128
-1, -1, -753.664
-1, -1, -753.664
-1, -1, -753.664
14, 48.709632, -753.664
-1, -1, -753.664
-1, -1, -737.28
-1, -1, -737.28
-1, -1, -737.28
-1, -1, -770.048
-1, -1, -720.896
-1, -1, -737.28
15, 48.770585, -753.664
-1, -1, -753.664
-1, -1, -737.28
-1, -1, -753.664
-1, -1, -737.28
-1, -1, -753.664
-1, -1, -753.664
-1, -1, -737.28
16, 48.830589, -720.896
-1, -1, -720.896
-1, -1, -737.28
-1, -1, -704.512
-1, -1, -770.048
-1, -1, -753.664
-1, -1, -753.664
-1, -1, -737.28
17, 48.890636, -753.664
-1, -1, -753.664
-1, -1, -737.28
-1, -1, -753.664
-1, -1, -753.664
-1, -1, -737.28
-1, -1, -737.28
-1, -1, -753.664
18, 48.950726, -737.28
-1, -1, -737.28
-1, -1, -720.896
-1, -1, -753.664
-1, -1, -753.664
-1, -1, -770.048
-1, -1, -770.048
-1, -1, -753.664
19, 49.011608, -753.664
-1, -1, -753.664
-1, -1, -704.512
-1, -1, -737.28
-1, -1, -737.28
-1, -1, -704.512
-1, -1, -720.896
-1, -1, -737.28
20, 49.101612, -851.968
-1, -1, -851.968
-1, -1, -819.2
-1, -1, -753.664
-1, -1, -688.128
-1, -1, -688.128
-1, -1, -720.896
-1, -1, -753.664
21, 49.162624, -753.664
-1, -1, -753.664
-1, -1, -753.664
-1, -1, -770.048
-1, -1, -737.28
-1, -1, -753.664
-1, -1, -753.664
-1, -1, -704.512
22, 49.223632, -737.28
-1, -1, -737.28
-1, -1, -720.896
-1, -1, -753.664
-1, -1, -753.664
-1, -1, -753.664
-1, -1, -753.664
-1, -1, -737.28
23, 49.284628, -737.28
-1, -1, -737.28
-1, -1, -720.896
-1, -1, -720.896
-1, -1, -737.28
-1, -1, -753.664
-1, -1, -753.664
-1, -1, -753.664
24, 49.345616, -704.512
-1, -1, -704.512
-1, -1, -720.896
-1, -1, -737.28
-1, -1, -737.28
-1, -1, -770.048
-1, -1, -737.28
-1, -1, -753.664
25, 49.40708, -737.28
-1, -1, -737.28
-1, -1, -753.664
-1, -1, -753.664
-1, -1, -737.28
-1, -1, -720.896
-1, -1, -720.896
-1, -1, -737.28
26, 49.467577, -737.28
-1, -1, -737.28
-1, -1, -753.664
-1, -1, -737.28
-1, -1, -753.664
-1, -1, -737.28
-1, -1, -737.28
-1, -1, -737.28
27, 49.527636, -737.28
-1, -1, -737.28
-1, -1, -737.28
-1, -1, -720.896
-1, -1, -737.28
-1, -1, -786.432
-1, -1, -753.664
-1, -1, -737.28
28, 49.588589, -737.28
-1, -1, -737.28
-1, -1, -753.664
-1, -1, -737.28
-1, -1, -753.664
-1, -1, -737.28
-1, -1, -770.048
-1, -1, -786.432
29, 49.648588, -835.584
-1, -1, -835.584
-1, -1, -770.048
-1, -1, -688.128
-1, -1, -671.744
-1, -1, -688.128
-1, -1, -770.048
-1, -1, -770.048
30, 49.708573, -753.664
-1, -1, -753.664
-1, -1, -737.28
-1, -1, -753.664
-1, -1, -720.896
-1, -1, -753.664
-1, -1, -753.664
-1, -1, -737.28
31, 49.768629, -720.896
-1, -1, -720.896
-1, -1, -704.512
-1, -1, -704.512
-1, -1, -770.048
-1, -1, -786.432
-1, -1, -753.664
-1, -1, -737.28
32, 49.829648, -737.28
-1, -1, -737.28
-1, -1, -737.28
-1, -1, -737.28
-1, -1, -737.28
-1, -1, -737.28
-1, -1, -720.896
-1, -1, -704.512
33, 49.889577, -737.28
-1, -1, -737.28
-1, -1, -753.664
-1, -1, -737.28
-1, -1, -753.664
-1, -1, -737.28
-1, -1, -720.896
-1, -1, -737.28
34, 49.949589, -720.896
-1, -1, -720.896
-1, -1, -737.28
-1, -1, -737.28
-1, -1, -704.512
-1, -1, -786.432
-1, -1, -819.2
-1, -1, -704.512
35, 50.009577, -606.208
-1, -1, -606.208
-1, -1, -786.432
-1, -1, -1294.336
-1, -1, -1654.784
-1, -1, -1490.944
-1, -1, -1015.808
-1, -1, -622.592
36, 50.099596, -851.968
-1, -1, -851.968
-1, -1, -688.128
-1, -1, -573.44
-1, -1, -540.672
-1, -1, -557.056
-1, -1, -573.44
-1, -1, -638.976
37, 50.159659, -720.896
-1, -1, -720.896
-1, -1, -786.432
-1, -1, -819.2
-1, -1, -802.816
-1, -1, -835.584
-1, -1, -884.736
-1, -1, -917.504
38, 50.219596, -835.584
-1, -1, -835.584
-1, -1, -819.2
-1, -1, -835.584
-1, -1, -851.968
-1, -1, -917.504
-1, -1, -917.504
-1, -1, -917.504
39, 50.280588, -884.736
-1, -1, -884.736
-1, -1, -901.12
-1, -1, -901.12
-1, -1, -884.736
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -835.584
40, 50.340596, -835.584
-1, -1, -835.584
-1, -1, -868.352
-1, -1, -851.968
-1, -1, -868.352
-1, -1, -884.736
-1, -1, -868.352
-1, -1, -868.352
41, 50.400577, -851.968
-1, -1, -851.968
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -884.736
-1, -1, -835.584
-1, -1, -802.816
-1, -1, -835.584
42, 50.460719, -868.352
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -884.736
-1, -1, -884.736
-1, -1, -868.352
43, 50.521577, -835.584
-1, -1, -835.584
-1, -1, -851.968
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -884.736
-1, -1, -884.736
-1, -1, -868.352
44, 50.581588, -884.736
-1, -1, -884.736
-1, -1, -901.12
-1, -1, -901.12
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -851.968
-1, -1, -901.12
45, 50.641624, -884.736
-1, -1, -884.736
-1, -1, -901.12
-1, -1, -901.12
-1, -1, -884.736
-1, -1, -884.736
-1, -1, -851.968
-1, -1, -884.736
46, 50.701596, -868.352
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -851.968
-1, -1, -868.352
-1, -1, -884.736
-1, -1, -901.12
-1, -1, -933.888
47, 50.762608, -835.584
-1, -1, -835.584
-1, -1, -819.2
-1, -1, -819.2
-1, -1, -868.352
-1, -1, -884.736
-1, -1, -884.736
-1, -1, -884.736
48, 50.822581, -884.736
-1, -1, -884.736
-1, -1, -868.352
-1, -1, -901.12
-1, -1, -868.352
-1, -1, -884.736
-1, -1, -868.352
-1, -1, -868.352
49, 50.912588, -884.736
-1, -1, -884.736
-1, -1, -901.12
-1, -1, -851.968
-1, -1, -868.352
-1, -1, -884.736
-1, -1, -884.736
-1, -1, -901.12
50, 50.972588, -901.12
-1, -1, -901.12
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -901.12
-1, -1, -884.736
-1, -1, -884.736
-1, -1, -884.736
51, 51.0327, -851.968
-1, -1, -851.968
-1, -1, -884.736
-1, -1, -901.12
-1, -1, -851.968
-1, -1, -884.736
-1, -1, -884.736
-1, -1, -884.736
52, 51.092588, -884.736
-1, -1, -884.736
-1, -1, -851.968
-1, -1, -835.584
-1, -1, -884.736
-1, -1, -901.12
-1, -1, -884.736
-1, -1, -851.968
53, 51.152592, -802.816
-1, -1, -802.816
-1, -1, -802.816
-1, -1, -851.968
-1, -1, -851.968
-1, -1, -884.736
-1, -1, -901.12
-1, -1, -901.12
54, 51.212628, -851.968
-1, -1, -851.968
-1, -1, -868.352
-1, -1, -851.968
-1, -1, -835.584
-1, -1, -851.968
-1, -1, -884.736
-1, -1, -884.736
55, 51.272604, -868.352
-1, -1, -868.352
-1, -1, -884.736
-1, -1, -901.12
-1, -1, -884.736
-1, -1, -884.736
-1, -1, -868.352
-1, -1, -868.352
56, 51.332577, -868.352
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -868.352
57, 51.392593, -868.352
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -884.736
-1, -1, -901.12
-1, -1, -917.504
-1, -1, -884.736
-1, -1, -868.352
58, 51.452592, -917.504
-1, -1, -917.504
-1, -1, -933.888
-1, -1, -966.656
-1, -1, -983.04
-1, -1, -950.272
-1, -1, -966.656
-1, -1, -950.272
59, 51.512592, -983.04
-1, -1, -983.04
-1, -1, -1015.808
-1, -1, -1015.808
-1, -1, -1015.808
-1, -1, -1015.808
-1, -1, -983.04
-1, -1, -999.424
60, 51.572592, -966.656
-1, -1, -966.656
-1, -1, -966.656
-1, -1, -966.656
-1, -1, -983.04
-1, -1, -983.04
-1, -1, -950.272
-1, -1, -933.888
61, 51.66262, -933.888
-1, -1, -933.888
-1, -1, -933.888
-1, -1, -917.504
-1, -1, -917.504
-1, -1, -917.504
-1, -1, -933.888
-1, -1, -917.504
62, 51.7236, -917.504
-1, -1, -917.504
-1, -1, -901.12
-1, -1, -901.12
-1, -1, -884.736
-1, -1, -868.352
-1, -1, -884.736
-1, -1, -884.736
63, 51.78462, -901.12
-1, -1, -901.12
-1, -1, -901.12
-1, -1, -884.736
-1, -1, -884.736
-1, -1, -868.352
-1, -1, -884.736
-1, -1, -884.736
64, 51.8456, -917.504
-1, -1, -917.504
-1, -1, -901.12
-1, -1, -868.352
-1, -1, -851.968
-1, -1, -868.352
-1, -1, -884.736
-1, -1, -901.12
65, 51.906589, -884.736
-1, -1, -884.736
-1, -1, -851.968
-1, -1, -851.968
-1, -1, -851.968
-1, -1, -884.736
-1, -1, -884.736
-1, -1, -884.736
66, 51.966622, -884.736
-1, -1, -884.736
-1, -1, -884.736
-1, -1, -884.736
-1, -1, -884.736
-1, -1, -851.968
-1, -1, -884.736
-1, -1, -868.352
67, 52.026617, -851.968
-1, -1, -851.968
-1, -1, -868.352
-1, -1, -901.12
-1, -1, -868.352
-1, -1, -851.968
-1, -1, -851.968
-1, -1, -868.352
68, 52.086612, -835.584
-1, -1, -835.584
-1, -1, -868.352
-1, -1, -884.736
-1, -1, -884.736
-1, -1, -868.352
-1, -1, -835.584
-1, -1, -835.584
69, 52.146577, -851.968
-1, -1, -851.968
-1, -1, -851.968
-1, -1, -835.584
-1, -1, -819.2
-1, -1, -802.816
-1, -1, -802.816
-1, -1, -786.432
70, 52.206588, -802.816
-1, -1, -802.816
-1, -1, -802.816
-1, -1, -786.432
-1, -1, -802.816
-1, -1, -802.816
-1, -1, -835.584
-1, -1, -851.968
71, 52.26688, -851.968
-1, -1, -851.968
-1, -1, -884.736
-1, -1, -901.12
-1, -1, -901.12
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -851.968
72, 52.3286, -901.12
-1, -1, -901.12
-1, -1, -884.736
-1, -1, -884.736
-1, -1, -884.736
-1, -1, -884.736
-1, -1, -917.504
-1, -1, -901.12
73, 52.389628, -851.968
-1, -1, -851.968
-1, -1, -835.584
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -901.12
-1, -1, -901.12
-1, -1, -868.352
74, 52.450604, -868.352
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -884.736
-1, -1, -901.12
-1, -1, -868.352
-1, -1, -851.968
-1, -1, -868.352
75, 52.511604, -868.352
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -901.12
-1, -1, -884.736
-1, -1, -901.12
76, 52.572581, -868.352
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -884.736
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -868.352
77, 52.662588, -884.736
-1, -1, -884.736
-1, -1, -901.12
-1, -1, -851.968
-1, -1, -868.352
-1, -1, -884.736
-1, -1, -884.736
-1, -1, -884.736
78, 52.722596, -917.504
-1, -1, -917.504
-1, -1, -901.12
-1, -1, -901.12
-1, -1, -901.12
-1, -1, -868.352
-1, -1, -835.584
-1, -1, -819.2
79, 52.782651, -835.584
-1, -1, -835.584
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -884.736
-1, -1, -884.736
-1, -1, -884.736
-1, -1, -851.968
80, 52.84262, -868.352
-1, -1, -868.352
-1, -1, -884.736
-1, -1, -901.12
-1, -1, -868.352
-1, -1, -884.736
-1, -1, -868.352
-1, -1, -851.968
81, 52.902645, -884.736
-1, -1, -884.736
-1, -1, -868.352
-1, -1, -901.12
-1, -1, -901.12
-1, -1, -950.272
-1, -1, -901.12
-1, -1, -851.968
82, 52.962585, -868.352
-1, -1, -868.352
-1, -1, -884.736
-1, -1, -917.504
-1, -1, -884.736
-1, -1, -901.12
-1, -1, -884.736
-1, -1, -884.736
83, 53.022581, -884.736
-1, -1, -884.736
-1, -1, -868.352
-1, -1, -884.736
-1, -1, -917.504
-1, -1, -950.272
-1, -1, -966.656
-1, -1, -950.272
84, 53.082632, -884.736
-1, -1, -884.736
-1, -1, -851.968
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -884.736
-1, -1, -901.12
-1, -1, -917.504
85, 53.142588, -917.504
-1, -1, -917.504
-1, -1, -917.504
-1, -1, -884.736
-1, -1, -884.736
-1, -1, -884.736
-1, -1, -901.12
-1, -1, -884.736
86, 53.202592, -884.736
-1, -1, -884.736
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -884.736
-1, -1, -901.12
-1, -1, -917.504
