# Wed May 23 11:00:02 2018   epoch: 1527066002.43  ecg_per_packet: 8
# seqID, timestamp_in_sec, ecg_data
2, 11.800633, -786.432
-1, -1, -786.432
-1, -1, -802.816
-1, -1, -802.816
-1, -1, -802.816
-1, -1, -802.816
-1, -1, -819.2
-1, -1, -868.352
3, 11.860625, -851.968
-1, -1, -851.968
-1, -1, -835.584
-1, -1, -819.2
-1, -1, -835.584
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -851.968
4, 11.920589, -835.584
-1, -1, -835.584
-1, -1, -819.2
-1, -1, -819.2
-1, -1, -835.584
-1, -1, -802.816
-1, -1, -835.584
-1, -1, -802.816
5, 11.980586, -819.2
-1, -1, -819.2
-1, -1, -835.584
-1, -1, -819.2
-1, -1, -835.584
-1, -1, -802.816
-1, -1, -802.816
-1, -1, -835.584
6, 12.04059, -835.584
-1, -1, -835.584
-1, -1, -851.968
-1, -1, -835.584
-1, -1, -819.2
-1, -1, -868.352
-1, -1, -851.968
-1, -1, -868.352
7, 12.130574, -851.968
-1, -1, -851.968
-1, -1, -835.584
-1, -1, -835.584
-1, -1, -835.584
-1, -1, -835.584
-1, -1, -884.736
-1, -1, -851.968
8, 12.190586, -819.2
-1, -1, -819.2
-1, -1, -770.048
-1, -1, -802.816
-1, -1, -851.968
-1, -1, -835.584
-1, -1, -819.2
-1, -1, -802.816
9, 12.25059, -786.432
-1, -1, -786.432
-1, -1, -835.584
-1, -1, -851.968
-1, -1, -851.968
-1, -1, -835.584
-1, -1, -802.816
-1, -1, -835.584
10, 12.310574, -851.968
-1, -1, -851.968
-1, -1, -868.352
-1, -1, -884.736
-1, -1, -851.968
-1, -1, -851.968
-1, -1, -835.584
-1, -1, -819.2
11, 12.370602, -851.968
-1, -1, -851.968
-1, -1, -819.2
-1, -1, -851.968
-1, -1, -819.2
-1, -1, -835.584
-1, -1, -868.352
-1, -1, -851.968
12, 12.430574, -819.2
-1, -1, -819.2
-1, -1, -819.2
-1, -1, -802.816
-1, -1, -835.584
-1, -1, -802.816
-1, -1, -819.2
-1, -1, -851.968
13, 12.490586, -819.2
-1, -1, -819.2
-1, -1, -851.968
-1, -1, -835.584
-1, -1, -835.584
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -868.352
14, 12.550574, -868.352
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -884.736
-1, -1, -851.968
-1, -1, -868.352
-1, -1, -868.352
-1, -1, -868.352
15, 12.610589, -884.736
-1, -1, -884.736
-1, -1, -851.968
-1, -1, -835.584
-1, -1, -851.968
-1, -1, -851.968
-1, -1, -851.968
-1, -1, -835.584
16, 12.67059, -802.816
-1, -1, -802.816
-1, -1, -802.816
-1, -1, -802.816
-1, -1, -819.2
-1, -1, -786.432
-1, -1, -802.816
-1, -1, -835.584
17, 12.730574, -835.584
-1, -1, -835.584
