# Wed May 23 15:28:34 2018   epoch: 1527082114.46  ecg_per_packet: 8
# seqID, timestamp_in_sec, ecg_data
8, 5147.938379, -786.432
-1, -1, -786.432
-1, -1, -835.584
-1, -1, -819.2
-1, -1, -802.816
-1, -1, -786.432
-1, -1, -786.432
-1, -1, -802.816
9, 5147.998352, -770.048
-1, -1, -770.048
-1, -1, -770.048
-1, -1, -770.048
-1, -1, -802.816
-1, -1, -802.816
-1, -1, -770.048
-1, -1, -786.432
10, 5148.058371, -770.048
-1, -1, -770.048
-1, -1, -770.048
-1, -1, -786.432
-1, -1, -802.816
-1, -1, -786.432
-1, -1, -770.048
-1, -1, -802.816
11, 5148.11832, -901.12
-1, -1, -901.12
-1, -1, -851.968
-1, -1, -753.664
-1, -1, -720.896
-1, -1, -770.048
-1, -1, -802.816
-1, -1, -802.816
12, 5148.17832, -786.432
-1, -1, -786.432
-1, -1, -786.432
-1, -1, -770.048
-1, -1, -786.432
-1, -1, -802.816
-1, -1, -802.816
-1, -1, -819.2
13, 5148.238324, -835.584
-1, -1, -835.584
-1, -1, -802.816
-1, -1, -786.432
-1, -1, -786.432
-1, -1, -802.816
-1, -1, -802.816
-1, -1, -819.2
14, 5148.298308, -802.816
-1, -1, -802.816
-1, -1, -786.432
-1, -1, -802.816
-1, -1, -786.432
-1, -1, -770.048
-1, -1, -786.432
-1, -1, -802.816
15, 5148.358328, -802.816
-1, -1, -802.816
-1, -1, -802.816
-1, -1, -802.816
-1, -1, -786.432
-1, -1, -786.432
-1, -1, -786.432
-1, -1, -786.432
16, 5148.418308, -770.048
-1, -1, -770.048
-1, -1, -770.048
-1, -1, -802.816
-1, -1, -819.2
-1, -1, -819.2
-1, -1, -819.2
-1, -1, -753.664
17, 5148.47832, -786.432
-1, -1, -786.432
-1, -1, -819.2
-1, -1, -819.2
-1, -1, -770.048
-1, -1, -770.048
-1, -1, -802.816
-1, -1, -802.816
18, 5148.56832, -786.432
-1, -1, -786.432
-1, -1, -786.432
-1, -1, -786.432
-1, -1, -770.048
-1, -1, -802.816
-1, -1, -786.432
-1, -1, -802.816
19, 5148.628328, -786.432
-1, -1, -786.432
-1, -1, -786.432
-1, -1, -819.2
-1, -1, -819.2
-1, -1, -835.584
-1, -1, -802.816
-1, -1, -786.432
20, 5148.689336, -802.816
-1, -1, -802.816
-1, -1, -819.2
-1, -1, -835.584
-1, -1, -802.816
-1, -1, -770.048
-1, -1, -704.512
-1, -1, -753.664
21, 5148.750336, -770.048
-1, -1, -770.048
-1, -1, -770.048
-1, -1, -753.664
-1, -1, -737.28
-1, -1, -704.512
-1, -1, -737.28
-1, -1, -753.664
22, 5148.810308, -786.432
-1, -1, -786.432
-1, -1, -770.048
-1, -1, -770.048
-1, -1, -786.432
-1, -1, -786.432
-1, -1, -786.432
-1, -1, -753.664
23, 5148.870344, -770.048
-1, -1, -770.048
-1, -1, -786.432
-1, -1, -819.2
-1, -1, -835.584
-1, -1, -819.2
-1, -1, -835.584
-1, -1, -819.2
24, 5148.930312, -786.432
-1, -1, -786.432
-1, -1, -786.432
-1, -1, -786.432
-1, -1, -802.816
-1, -1, -786.432
-1, -1, -786.432
-1, -1, -786.432
25, 5148.99032, -770.048
-1, -1, -770.048
-1, -1, -753.664
-1, -1, -753.664
-1, -1, -753.664
-1, -1, -802.816
-1, -1, -786.432
-1, -1, -786.432
26, 5149.050316, -786.432
-1, -1, -786.432
-1, -1, -770.048
-1, -1, -786.432
-1, -1, -786.432
-1, -1, -786.432
-1, -1, -819.2
-1, -1, -753.664
27, 5149.110312, -770.048
-1, -1, -770.048
-1, -1, -770.048
-1, -1, -802.816
-1, -1, -802.816
-1, -1, -753.664
-1, -1, -770.048
-1, -1, -753.664
28, 5149.170324, -786.432
-1, -1, -786.432
-1, -1, -802.816
-1, -1, -770.048
-1, -1, -770.048
-1, -1, -753.664
-1, -1, -802.816
-1, -1, -802.816
29, 5149.230308, -802.816
-1, -1, -802.816
-1, -1, -786.432
-1, -1, -770.048
-1, -1, -802.816
-1, -1, -835.584
-1, -1, -819.2
-1, -1, -802.816
30, 5149.290328, -770.048
-1, -1, -770.048
-1, -1, -753.664
-1, -1, -737.28
-1, -1, -753.664
-1, -1, -770.048
-1, -1, -770.048
-1, -1, -770.048
31, 5149.380343, -737.28
-1, -1, -737.28
-1, -1, -753.664
-1, -1, -770.048
-1, -1, -786.432
-1, -1, -802.816
-1, -1, -753.664
-1, -1, -770.048
32, 5149.440308, -786.432
-1, -1, -786.432
-1, -1, -802.816
-1, -1, -802.816
-1, -1, -770.048
-1, -1, -786.432
-1, -1, -753.664
-1, -1, -737.28
33, 5149.50032, -786.432
-1, -1, -786.432
-1, -1, -770.048
-1, -1, -786.432
-1, -1, -770.048
-1, -1, -770.048
-1, -1, -753.664
-1, -1, -786.432
34, 5149.560324, -786.432
-1, -1, -786.432
-1, -1, -770.048
-1, -1, -770.048
-1, -1, -753.664
-1, -1, -770.048
-1, -1, -753.664
-1, -1, -770.048
35, 5149.620308, -770.048
-1, -1, -770.048
-1, -1, -770.048
-1, -1, -753.664
-1, -1, -770.048
-1, -1, -753.664
-1, -1, -770.048
-1, -1, -753.664
36, 5149.680328, -753.664
-1, -1, -753.664
-1, -1, -786.432
-1, -1, -786.432
-1, -1, -753.664
-1, -1, -770.048
-1, -1, -770.048
-1, -1, -786.432
37, 5149.740308, -786.432
-1, -1, -786.432
-1, -1, -786.432
-1, -1, -770.048
-1, -1, -770.048
-1, -1, -802.816
-1, -1, -770.048
-1, -1, -753.664
38, 5149.80032, -753.664
-1, -1, -753.664
-1, -1, -770.048
-1, -1, -770.048
-1, -1, -770.048
-1, -1, -770.048
-1, -1, -737.28
-1, -1, -770.048
39, 5149.860324, -720.896
-1, -1, -720.896
-1, -1, -704.512
-1, -1, -770.048
-1, -1, -802.816
-1, -1, -802.816
-1, -1, -786.432
-1, -1, -770.048
40, 5149.92039, -802.816
-1, -1, -802.816
-1, -1, -802.816
-1, -1, -786.432
-1, -1, -770.048
-1, -1, -802.816
-1, -1, -819.2
-1, -1, -819.2
41, 5149.980324, -802.816
-1, -1, -802.816
-1, -1, -786.432
-1, -1, -802.816
-1, -1, -802.816
-1, -1, -802.816
-1, -1, -753.664
-1, -1, -802.816
42, 5150.040367, -786.432
-1, -1, -786.432
-1, -1, -786.432
-1, -1, -819.2
-1, -1, -786.432
-1, -1, -786.432
-1, -1, -753.664
-1, -1, -770.048
43, 5150.130328, -802.816
-1, -1, -802.816
-1, -1, -786.432
-1, -1, -770.048
-1, -1, -753.664
-1, -1, -770.048
-1, -1, -786.432
-1, -1, -802.816
44, 5150.190328, -770.048
-1, -1, -770.048
-1, -1, -753.664
-1, -1, -770.048
-1, -1, -802.816
-1, -1, -786.432
-1, -1, -786.432
-1, -1, -737.28
45, 5150.250304, -786.432
-1, -1, -786.432
-1, -1, -802.816
-1, -1, -786.432
-1, -1, -786.432
-1, -1, -753.664
-1, -1, -770.048
-1, -1, -786.432
46, 5150.31032, -770.048
-1, -1, -770.048
-1, -1, -770.048
-1, -1, -786.432
-1, -1, -770.048
-1, -1, -770.048
-1, -1, -786.432
-1, -1, -819.2
47, 5150.370328, -786.432
-1, -1, -786.432
-1, -1, -786.432
-1, -1, -786.432
-1, -1, -819.2
-1, -1, -819.2
-1, -1, -819.2
-1, -1, -770.048
48, 5150.430316, -770.048
-1, -1, -770.048
-1, -1, -835.584
-1, -1, -868.352
-1, -1, -851.968
-1, -1, -819.2
-1, -1, -753.664
-1, -1, -704.512
49, 5150.490324, -737.28
-1, -1, -737.28
-1, -1, -786.432
-1, -1, -802.816
-1, -1, -802.816
-1, -1, -786.432
-1, -1, -786.432
