# Wed Apr 25 13:40:05 2018   epoch: 1524656405.74  ecg_per_packet: 8
# seqID, timestamp_in_sec, ecg_data
483, 1151.653038, -917.504
-1, -1, -917.504
-1, -1, -933.888
-1, -1, -966.656
-1, -1, -950.272
-1, -1, -966.656
-1, -1, -999.424
-1, -1, -1032.192
484, 1151.813985, -966.656
-1, -1, -966.656
-1, -1, -933.888
-1, -1, -884.736
-1, -1, -950.272
-1, -1, -950.272
-1, -1, -933.888
-1, -1, -933.888
485, 1151.814998, -950.272
-1, -1, -950.272
-1, -1, -950.272
-1, -1, -966.656
-1, -1, -950.272
-1, -1, -983.04
-1, -1, -983.04
-1, -1, -966.656
486, 1151.815569, -950.272
-1, -1, -950.272
-1, -1, -933.888
-1, -1, -966.656
-1, -1, -966.656
-1, -1, -983.04
-1, -1, -966.656
-1, -1, -966.656
487, 1151.975729, -983.04
-1, -1, -983.04
-1, -1, -966.656
-1, -1, -966.656
-1, -1, -983.04
-1, -1, -983.04
-1, -1, -983.04
-1, -1, -966.656
488, 1151.977248, -950.272
-1, -1, -950.272
-1, -1, -933.888
-1, -1, -950.272
-1, -1, -933.888
-1, -1, -933.888
-1, -1, -917.504
-1, -1, -917.504
489, 1151.978229, -950.272
-1, -1, -950.272
-1, -1, -933.888
-1, -1, -966.656
-1, -1, -933.888
-1, -1, -950.272
-1, -1, -917.504
-1, -1, -917.504
490, 1152.138668, -950.272
-1, -1, -950.272
-1, -1, -950.272
-1, -1, -950.272
-1, -1, -950.272
-1, -1, -950.272
-1, -1, -983.04
-1, -1, -966.656
491, 1152.139355, -950.272
-1, -1, -950.272
-1, -1, -917.504
-1, -1, -917.504
-1, -1, -950.272
-1, -1, -950.272
-1, -1, -966.656
-1, -1, -950.272
492, 1152.299721, -933.888
-1, -1, -933.888
-1, -1, -933.888
-1, -1, -933.888
-1, -1, -966.656
-1, -1, -966.656
-1, -1, -950.272
-1, -1, -917.504
493, 1152.301992, -966.656
-1, -1, -966.656
-1, -1, -950.272
