# Wed Apr 25 13:36:00 2018   epoch: 1524656160.18  ecg_per_packet: 8
# seqID, timestamp_in_sec, ecg_data
485, 906.170802, -1048.576
-1, -1, -1048.576
-1, -1, -1114.112
-1, -1, -1179.648
-1, -1, -1294.336
-1, -1, -1409.024
-1, -1, -1458.176
-1, -1, -1359.872
486, 906.251627, -1228.8
-1, -1, -1228.8
-1, -1, -1179.648
-1, -1, -1163.264
-1, -1, -1097.728
-1, -1, -1048.576
-1, -1, -983.04
-1, -1, -966.656
487, 906.291694, -1212.416
-1, -1, -1212.416
-1, -1, -1196.032
-1, -1, -1163.264
-1, -1, -1179.648
-1, -1, -1163.264
-1, -1, -1146.88
-1, -1, -1114.112
488, 906.372633, -1163.264
-1, -1, -1163.264
-1, -1, -1146.88
-1, -1, -1146.88
-1, -1, -1146.88
-1, -1, -1146.88
-1, -1, -1163.264
-1, -1, -1163.264
489, 906.453641, -1146.88
-1, -1, -1146.88
-1, -1, -1146.88
-1, -1, -1114.112
-1, -1, -1146.88
-1, -1, -1146.88
-1, -1, -1212.416
-1, -1, -1228.8
490, 906.494577, -1212.416
-1, -1, -1212.416
-1, -1, -1163.264
-1, -1, -1146.88
-1, -1, -1146.88
-1, -1, -1163.264
-1, -1, -1163.264
-1, -1, -1196.032
491, 906.574589, -1212.416
-1, -1, -1212.416
-1, -1, -1212.416
-1, -1, -1196.032
-1, -1, -1146.88
-1, -1, -1163.264
-1, -1, -1196.032
-1, -1, -1179.648
492, 906.614577, -1179.648
-1, -1, -1179.648
-1, -1, -1179.648
-1, -1, -1196.032
-1, -1, -1212.416
-1, -1, -1212.416
-1, -1, -1179.648
-1, -1, -1196.032
493, 906.694625, -1146.88
-1, -1, -1146.88
-1, -1, -1130.496
-1, -1, -1196.032
-1, -1, -1212.416
-1, -1, -1196.032
-1, -1, -1163.264
-1, -1, -1163.264
494, 906.735623, -1130.496
-1, -1, -1130.496
-1, -1, -1179.648
-1, -1, -1179.648
-1, -1, -1163.264
-1, -1, -1179.648
-1, -1, -1179.648
-1, -1, -1163.264
495, 906.815671, -1163.264
-1, -1, -1163.264
-1, -1, -1179.648
-1, -1, -1196.032
-1, -1, -1179.648
-1, -1, -1179.648
-1, -1, -1196.032
-1, -1, -1179.648
496, 906.855607, -1196.032
-1, -1, -1196.032
-1, -1, -1179.648
-1, -1, -1146.88
-1, -1, -1163.264
-1, -1, -1179.648
-1, -1, -1212.416
-1, -1, -1228.8
497, 906.935657, -1163.264
-1, -1, -1163.264
-1, -1, -1163.264
-1, -1, -1163.264
-1, -1, -1163.264
-1, -1, -1163.264
-1, -1, -1179.648
-1, -1, -1163.264
498, 907.016621, -1179.648
-1, -1, -1179.648
-1, -1, -1163.264
-1, -1, -1163.264
-1, -1, -1196.032
-1, -1, -1196.032
-1, -1, -1196.032
-1, -1, -1179.648
499, 907.057738, -1163.264
-1, -1, -1163.264
-1, -1, -1163.264
-1, -1, -1179.648
-1, -1, -1163.264
-1, -1, -1163.264
-1, -1, -1163.264
-1, -1, -1146.88
500, 907.138882, -1163.264
-1, -1, -1163.264
-1, -1, -1163.264
-1, -1, -1163.264
-1, -1, -1163.264
-1, -1, -1130.496
-1, -1, -1146.88
-1, -1, -1163.264
501, 907.179581, -1146.88
-1, -1, -1146.88
-1, -1, -1179.648
-1, -1, -1179.648
-1, -1, -1179.648
-1, -1, -1163.264
-1, -1, -1163.264
-1, -1, -1146.88
502, 907.259607, -1163.264
-1, -1, -1163.264
-1, -1, -1146.88
-1, -1, -1146.88
-1, -1, -1179.648
-1, -1, -1179.648
-1, -1, -1179.648
-1, -1, -1163.264
503, 907.299569, -1179.648
-1, -1, -1179.648
-1, -1, -1163.264
-1, -1, -1163.264
-1, -1, -1146.88
-1, -1, -1130.496
-1, -1, -1163.264
-1, -1, -1196.032
504, 907.379627, -1196.032
-1, -1, -1196.032
-1, -1, -1196.032
-1, -1, -1163.264
-1, -1, -1146.88
-1, -1, -1196.032
-1, -1, -1163.264
-1, -1, -1146.88
505, 907.419577, -1196.032
-1, -1, -1196.032
-1, -1, -1228.8
-1, -1, -1196.032
-1, -1, -1146.88
-1, -1, -1081.344
-1, -1, -1114.112
-1, -1, -1146.88
506, 907.499589, -1146.88
-1, -1, -1146.88
-1, -1, -1163.264
-1, -1, -1163.264
-1, -1, -1163.264
-1, -1, -1130.496
-1, -1, -1130.496
-1, -1, -1163.264
507, 907.579603, -1163.264
-1, -1, -1163.264
-1, -1, -1163.264
-1, -1, -1146.88
-1, -1, -1146.88
-1, -1, -1179.648
-1, -1, -1146.88
-1, -1, -1179.648
508, 907.619569, -1163.264
-1, -1, -1163.264
-1, -1, -1179.648
-1, -1, -1179.648
-1, -1, -1179.648
-1, -1, -1163.264
-1, -1, -1163.264
-1, -1, -1179.648
509, 907.699593, -1179.648
-1, -1, -1179.648
-1, -1, -1179.648
-1, -1, -1179.648
-1, -1, -1163.264
-1, -1, -1146.88
-1, -1, -1130.496
-1, -1, -1163.264
510, 907.739577, -1163.264
-1, -1, -1163.264
-1, -1, -1163.264
-1, -1, -1179.648
-1, -1, -1179.648
-1, -1, -1179.648
-1, -1, -1146.88
-1, -1, -1130.496
511, 907.819589, -1146.88
-1, -1, -1146.88
-1, -1, -1114.112
-1, -1, -1146.88
-1, -1, -1146.88
-1, -1, -1179.648
-1, -1, -1179.648
-1, -1, -1146.88
512, 907.859619, -1163.264
-1, -1, -1163.264
-1, -1, -1146.88
-1, -1, -1146.88
-1, -1, -1114.112
-1, -1, -1114.112
-1, -1, -1130.496
-1, -1, -1146.88
513, 907.939581, -1130.496
-1, -1, -1130.496
-1, -1, -1163.264
-1, -1, -1146.88
-1, -1, -1163.264
-1, -1, -1163.264
-1, -1, -1146.88
-1, -1, -1146.88
514, 907.979611, -1163.264
-1, -1, -1163.264
-1, -1, -1130.496
-1, -1, -1146.88
-1, -1, -1130.496
-1, -1, -1146.88
-1, -1, -1146.88
-1, -1, -1163.264
515, 908.059577, -1146.88
-1, -1, -1146.88
-1, -1, -1146.88
-1, -1, -1163.264
-1, -1, -1146.88
-1, -1, -1130.496
-1, -1, -1146.88
-1, -1, -1146.88
516, 908.139686, -1114.112
-1, -1, -1114.112
-1, -1, -1163.264
-1, -1, -1228.8
-1, -1, -1261.568
-1, -1, -1212.416
-1, -1, -1130.496
-1, -1, -1114.112
517, 908.180607, -1081.344
-1, -1, -1081.344
-1, -1, -1114.112
-1, -1, -1097.728
-1, -1, -1146.88
-1, -1, -1146.88
-1, -1, -1179.648
-1, -1, -1163.264
518, 908.260581, -1163.264
-1, -1, -1163.264
-1, -1, -1179.648
-1, -1, -1146.88
-1, -1, -1163.264
-1, -1, -1146.88
-1, -1, -1163.264
-1, -1, -1146.88
