# Fri Apr 27 15:30:07 2018   epoch: 1524835807.67  ecg_per_packet: 8
# seqID, timestamp_in_sec, ecg_data
482, 1049.771702, -12877.824
-1, -1, -12877.824
-1, -1, -12664.832
-1, -1, -12632.064
-1, -1, -12795.904
-1, -1, -12926.976
-1, -1, -12926.976
-1, -1, -12795.904
483, 1049.852632, -12828.672
-1, -1, -12828.672
-1, -1, -12779.52
-1, -1, -12746.752
-1, -1, -12681.216
-1, -1, -12664.832
-1, -1, -12664.832
-1, -1, -12615.68
484, 1049.893725, -12615.68
-1, -1, -12615.68
-1, -1, -12582.912
-1, -1, -12550.144
-1, -1, -12517.376
-1, -1, -12484.608
-1, -1, -12468.224
-1, -1, -12451.84
485, 1049.974636, -12402.688
-1, -1, -12402.688
-1, -1, -12369.92
-1, -1, -12337.152
-1, -1, -12304.384
-1, -1, -12271.616
-1, -1, -12255.232
-1, -1, -12222.464
486, 1050.015749, -12140.544
-1, -1, -12140.544
-1, -1, -12107.776
-1, -1, -12091.392
-1, -1, -12107.776
-1, -1, -12025.856
-1, -1, -12025.856
-1, -1, -12025.856
487, 1050.096663, -11960.32
-1, -1, -11960.32
-1, -1, -11911.168
-1, -1, -11894.784
-1, -1, -11911.168
-1, -1, -11911.168
-1, -1, -11862.016
-1, -1, -11796.48
488, 1050.137726, -11763.712
-1, -1, -11763.712
-1, -1, -11730.944
-1, -1, -11681.792
-1, -1, -11649.024
-1, -1, -11599.872
-1, -1, -11665.408
-1, -1, -11649.024
489, 1050.218664, -11583.488
-1, -1, -11583.488
-1, -1, -11583.488
-1, -1, -11550.72
-1, -1, -11550.72
-1, -1, -11517.952
-1, -1, -11485.184
-1, -1, -11468.8
490, 1050.259721, -11403.264
-1, -1, -11403.264
-1, -1, -11386.88
-1, -1, -11354.112
-1, -1, -11337.728
-1, -1, -11321.344
-1, -1, -11304.96
-1, -1, -11255.808
491, 1050.340665, -11272.192
-1, -1, -11272.192
-1, -1, -11239.424
-1, -1, -11059.2
-1, -1, -10829.824
-1, -1, -10764.288
-1, -1, -10895.36
-1, -1, -11075.584
492, 1050.381721, -10862.592
-1, -1, -10862.592
-1, -1, -10682.368
-1, -1, -10616.832
-1, -1, -10600.448
-1, -1, -10518.528
-1, -1, -10436.608
-1, -1, -10354.688
493, 1050.462636, -10305.536
-1, -1, -10305.536
-1, -1, -10305.536
-1, -1, -10289.152
-1, -1, -10223.616
-1, -1, -10207.232
-1, -1, -10207.232
-1, -1, -10174.464
494, 1050.543664, -10076.16
-1, -1, -10076.16
-1, -1, -10010.624
-1, -1, -9961.472
-1, -1, -9928.704
-1, -1, -9863.168
-1, -1, -9830.4
-1, -1, -9846.784
495, 1050.584722, -9797.632
-1, -1, -9797.632
-1, -1, -9764.864
-1, -1, -9682.944
-1, -1, -9617.408
-1, -1, -9601.024
-1, -1, -9601.024
-1, -1, -9568.256
496, 1050.66564, -9551.872
-1, -1, -9551.872
-1, -1, -9601.024
-1, -1, -9519.104
-1, -1, -9125.888
-1, -1, -8536.064
-1, -1, -8093.696
-1, -1, -7897.088
497, 1050.706721, -7979.008
-1, -1, -7979.008
-1, -1, -7979.008
-1, -1, -7913.472
-1, -1, -7864.32
-1, -1, -7815.168
-1, -1, -7798.784
-1, -1, -7782.4
498, 1050.787632, -7733.248
-1, -1, -7733.248
-1, -1, -7733.248
-1, -1, -7733.248
-1, -1, -7700.48
-1, -1, -7667.712
-1, -1, -7569.408
-1, -1, -7585.792
499, 1050.828749, -7520.256
-1, -1, -7520.256
-1, -1, -7503.872
-1, -1, -7471.104
-1, -1, -7438.336
-1, -1, -7438.336
-1, -1, -7421.952
-1, -1, -7405.568
500, 1050.90958, -7356.416
-1, -1, -7356.416
-1, -1, -7307.264
-1, -1, -7323.648
-1, -1, -7340.032
-1, -1, -7372.8
-1, -1, -7208.96
-1, -1, -7012.352
501, 1050.949626, -6914.048
-1, -1, -6914.048
-1, -1, -7061.504
-1, -1, -7258.112
-1, -1, -7356.416
-1, -1, -7274.496
-1, -1, -7176.192
-1, -1, -7159.808
502, 1051.029626, -7143.424
-1, -1, -7143.424
-1, -1, -7127.04
-1, -1, -7159.808
-1, -1, -7143.424
-1, -1, -7077.888
-1, -1, -7061.504
-1, -1, -7045.12
503, 1051.06958, -7061.504
-1, -1, -7061.504
-1, -1, -7061.504
-1, -1, -7077.888
-1, -1, -7061.504
-1, -1, -6995.968
-1, -1, -6979.584
-1, -1, -6946.816
504, 1051.149618, -6914.048
-1, -1, -6914.048
-1, -1, -6914.048
-1, -1, -6864.896
-1, -1, -6848.512
-1, -1, -6848.512
-1, -1, -6815.744
-1, -1, -6832.128
505, 1051.229614, -6799.36
-1, -1, -6799.36
-1, -1, -6799.36
-1, -1, -6766.592
-1, -1, -6750.208
-1, -1, -6733.824
-1, -1, -6733.824
-1, -1, -6733.824
506, 1051.269576, -6733.824
-1, -1, -6733.824
-1, -1, -6733.824
-1, -1, -6750.208
-1, -1, -6750.208
-1, -1, -6717.44
-1, -1, -6684.672
-1, -1, -6684.672
507, 1051.349622, -6684.672
-1, -1, -6684.672
-1, -1, -6668.288
-1, -1, -6668.288
-1, -1, -6651.904
-1, -1, -6602.752
-1, -1, -6602.752
-1, -1, -6619.136
508, 1051.389576, -6619.136
-1, -1, -6619.136
-1, -1, -6602.752
-1, -1, -6586.368
-1, -1, -6553.6
-1, -1, -6537.216
-1, -1, -6553.6
-1, -1, -6504.448
509, 1051.469614, -6455.296
-1, -1, -6455.296
-1, -1, -6455.296
-1, -1, -6471.68
-1, -1, -6438.912
-1, -1, -6422.528
-1, -1, -6373.376
-1, -1, -6373.376
510, 1051.509721, -5963.776
-1, -1, -5963.776
-1, -1, -6012.928
-1, -1, -6193.152
-1, -1, -6340.608
-1, -1, -6324.224
-1, -1, -6242.304
-1, -1, -6193.152
511, 1051.590632, -6160.384
-1, -1, -6160.384
-1, -1, -6160.384
-1, -1, -6176.768
-1, -1, -6176.768
-1, -1, -6176.768
-1, -1, -6160.384
-1, -1, -6176.768
512, 1051.631584, -6160.384
-1, -1, -6160.384
-1, -1, -6160.384
-1, -1, -6144.0
-1, -1, -6127.616
-1, -1, -6111.232
-1, -1, -6094.848
-1, -1, -6078.464
513, 1051.711596, -6062.08
-1, -1, -6062.08
-1, -1, -6062.08
-1, -1, -6062.08
-1, -1, -6062.08
-1, -1, -6029.312
-1, -1, -6029.312
-1, -1, -5996.544
514, 1051.791596, -6029.312
-1, -1, -6029.312
-1, -1, -6029.312
-1, -1, -6029.312
-1, -1, -6012.928
-1, -1, -6012.928
-1, -1, -6029.312
-1, -1, -6062.08
515, 1051.831686, -6225.92
-1, -1, -6225.92
-1, -1, -6291.456
-1, -1, -6356.992
-1, -1, -6422.528
-1, -1, -6438.912
-1, -1, -6455.296
-1, -1, -6422.528
516, 1051.912694, -6455.296
-1, -1, -6455.296
-1, -1, -6438.912
-1, -1, -6438.912
-1, -1, -6438.912
-1, -1, -6438.912
-1, -1, -6438.912
-1, -1, -6438.912
517, 1051.953725, -6455.296
-1, -1, -6455.296
-1, -1, -6488.064
-1, -1, -6455.296
-1, -1, -6438.912
-1, -1, -6406.144
-1, -1, -6324.224
-1, -1, -6242.304
518, 1052.034667, -6144.0
-1, -1, -6144.0
-1, -1, -6111.232
-1, -1, -6111.232
-1, -1, -6111.232
-1, -1, -6111.232
-1, -1, -6078.464
-1, -1, -6078.464
519, 1052.075721, -6127.616
-1, -1, -6127.616
-1, -1, -6029.312
-1, -1, -5799.936
-1, -1, -5718.016
-1, -1, -5832.704
-1, -1, -6012.928
-1, -1, -6094.848
520, 1052.156668, -5865.472
-1, -1, -5865.472
-1, -1, -5849.088
-1, -1, -5816.32
-1, -1, -5767.168
-1, -1, -5701.632
-1, -1, -5636.096
-1, -1, -5537.792
521, 1052.197713, -5390.336
-1, -1, -5390.336
-1, -1, -5341.184
-1, -1, -5292.032
-1, -1, -5259.264
-1, -1, -5226.496
-1, -1, -5177.344
-1, -1, -5160.96
522, 1052.27866, -5079.04
-1, -1, -5079.04
-1, -1, -5079.04
-1, -1, -5062.656
-1, -1, -5079.04
-1, -1, -5013.504
-1, -1, -5062.656
-1, -1, -5144.576
523, 1052.319729, -5259.264
-1, -1, -5259.264
-1, -1, -5357.568
-1, -1, -5685.248
-1, -1, -6094.848
-1, -1, -6455.296
-1, -1, -6651.904
-1, -1, -6717.44
524, 1052.400628, -6815.744
-1, -1, -6815.744
-1, -1, -7077.888
-1, -1, -7340.032
-1, -1, -7553.024
-1, -1, -7569.408
-1, -1, -7503.872
-1, -1, -7487.488
525, 1052.441725, -7503.872
-1, -1, -7503.872
-1, -1, -7503.872
-1, -1, -7487.488
-1, -1, -7454.72
-1, -1, -7471.104
-1, -1, -7454.72
-1, -1, -7438.336
526, 1052.522671, -7405.568
-1, -1, -7405.568
-1, -1, -7421.952
-1, -1, -7421.952
-1, -1, -7389.184
-1, -1, -7389.184
-1, -1, -7405.568
-1, -1, -7389.184
527, 1052.603636, -7340.032
-1, -1, -7340.032
-1, -1, -7323.648
-1, -1, -7290.88
-1, -1, -7307.264
-1, -1, -7307.264
-1, -1, -7323.648
-1, -1, -7290.88
528, 1052.644729, -7290.88
-1, -1, -7290.88
-1, -1, -7307.264
-1, -1, -7290.88
-1, -1, -7274.496
-1, -1, -7110.656
-1, -1, -6930.432
-1, -1, -6897.664
529, 1052.725628, -7258.112
-1, -1, -7258.112
-1, -1, -7290.88
-1, -1, -7208.96
-1, -1, -7159.808
-1, -1, -7110.656
-1, -1, -7127.04
-1, -1, -7110.656
530, 1052.766749, -7094.272
-1, -1, -7094.272
-1, -1, -7077.888
-1, -1, -7061.504
-1, -1, -7094.272
-1, -1, -7077.888
-1, -1, -7061.504
-1, -1, -7045.12
531, 1052.847721, -6979.584
-1, -1, -6979.584
-1, -1, -6963.2
